pygame 1.9.6
Hello from the pygame community. https://www.pygame.org/contribute.html
         3564160 function calls (3557361 primitive calls) in 19.422 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      188    0.004    0.000    0.011    0.000 version.py:198(__init__)
       46    0.000    0.000    0.011    0.000 __init__.py:2000(<listcomp>)
        1    0.000    0.000    0.011    0.011 __init__.py:959(Environment)
        1    0.000    0.000    0.011    0.011 __init__.py:41(<module>)
        1    0.000    0.000    0.011    0.011 __init__.py:177(get_supported_platform)
        1    0.000    0.000    0.011    0.011 __init__.py:387(get_build_platform)
      400    0.004    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
      140    0.001    0.000    0.011    0.000 version.py:24(parse)
        1    0.000    0.000    0.011    0.011 defchararray.py:17(<module>)
      292    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:147(__enter__)
       10    0.000    0.000    0.010    0.001 <frozen importlib._bootstrap_external>:421(_find_module_shim)
       10    0.000    0.000    0.010    0.001 <frozen importlib._bootstrap_external>:1339(find_loader)
       25    0.005    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
       46    0.000    0.000    0.010    0.000 __init__.py:2533(__init__)
        1    0.000    0.000    0.010    0.010 financial.py:12(<module>)
       14    0.000    0.000    0.009    0.001 __init__.py:2071(safe_listdir)
        2    0.000    0.000    0.009    0.005 function_base.py:1(<module>)
        1    0.000    0.000    0.009    0.009 __init__.py:184(<module>)
        1    0.000    0.000    0.009    0.009 traceback.py:1(<module>)
      287    0.002    0.000    0.009    0.000 overrides.py:72(verify_matching_signatures)
      471    0.005    0.000    0.009    0.000 copy.py:268(_reconstruct)
       25    0.003    0.000    0.009    0.000 __init__.py:316(namedtuple)
      711    0.004    0.000    0.009    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
       92    0.002    0.000    0.009    0.000 sre_compile.py:536(_compile_info)
        1    0.000    0.000    0.009    0.009 charset.py:6(<module>)
      453    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:403(cached)
    15724    0.008    0.000    0.009    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.009    0.009 numerictypes.py:81(<module>)
        6    0.000    0.000    0.009    0.001 enum.py:633(_convert)
      688    0.009    0.000    0.009    0.000 {method 'sub' of 're.Pattern' objects}
       25    0.000    0.000    0.008    0.000 __init__.py:1406(has_metadata)
        1    0.000    0.000    0.008    0.008 pyparsing.py:4904(makeHTMLTags)
        1    0.000    0.000    0.008    0.008 pyparsing.py:4875(_makeTags)
      148    0.000    0.000    0.008    0.000 sre_parse.py:96(closegroup)
        1    0.000    0.000    0.008    0.008 hmac.py:4(<module>)
       26    0.000    0.000    0.008    0.000 linecache.py:53(checkcache)
